Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
20/12/2022,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.36,0.05,0.64,0.91,0.09,0.05,0.05,0.05,0.04,0.07,0.04,0.01,0.6,0.02,0.04,0.03,0.01,0.01,0.02,0.02,0.04,0.04,0.01,0.01,0.01,0.01,
21/12/2022,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.02,0.17,0.11,0.05,0.02,0.05,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,
22/12/2022,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.06,0.05,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,
23/12/2022,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,
24/12/2022,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,
25/12/2022,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,
26/12/2022,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,
27/12/2022,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.02,0.03,0.05,0.03,
28/12/2022,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.04,0.04,
29/12/2022,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.04,
30/12/2022,0.04,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,
